date,ticker,adv
2001-07-03,CHKP,801102845.3718302
2001-07-05,CHKP,801470258.6853223
2001-07-06,CHKP,801213931.0067508
2001-07-09,CHKP,800389011.8797667
2001-07-10,CHKP,800355268.0244095
2001-07-11,CHKP,801175674.6642905
2001-07-12,CHKP,800300269.9517906
2001-07-13,CHKP,799344787.4438541
2001-07-16,CHKP,798885981.3724256
2001-07-17,CHKP,794620345.9664732
2001-07-18,CHKP,791175420.6444494
2001-07-19,CHKP,786503542.9936557
2001-07-20,CHKP,783234069.5968304
2001-07-23,CHKP,783276247.6688541
2001-07-24,CHKP,782139053.823616
2001-07-25,CHKP,781273732.4892906
2001-07-26,CHKP,781905307.822624
2001-07-27,CHKP,782244711.6083382
2001-07-30,CHKP,781789229.7869097
2001-07-31,CHKP,781108772.485124
2001-08-01,CHKP,781316106.0922669
2001-08-02,CHKP,780459127.4494097
2001-08-03,CHKP,779709525.7506002
2001-08-06,CHKP,779083957.9095287
2001-08-07,CHKP,778197975.3581398
2001-08-08,CHKP,778275738.8980206
2001-08-09,CHKP,777893498.1767905
2001-08-10,CHKP,777968371.5410762
2001-08-13,CHKP,777418711.3527825
2001-08-14,CHKP,776786320.2734174
2001-08-15,CHKP,777413484.1543698
2001-08-16,CHKP,776944848.5214332
2001-08-17,CHKP,775788411.4547666
2001-08-20,CHKP,775138263.6256
2001-08-21,CHKP,775235752.6136951
2001-08-22,CHKP,775087044.2406793
2001-08-23,CHKP,775931675.0710365
2001-08-24,CHKP,776286565.8805603
2001-08-27,CHKP,776978160.2549651
2001-08-28,CHKP,776682236.770838
2001-08-29,CHKP,775494894.0119095
2001-08-30,CHKP,774943234.3833381
2001-08-31,CHKP,773902904.9904809
2001-09-04,CHKP,774108986.8952428
2001-09-05,CHKP,773590334.6333381
2001-09-06,CHKP,772915646.7912745
2001-09-07,CHKP,771866596.2746078
2001-09-10,CHKP,772330797.5990126
2001-09-17,CHKP,771979827.4329411
2001-09-18,CHKP,770935852.8527824
2001-09-19,CHKP,770172407.9101237
2001-09-20,CHKP,769038595.9577427
2001-09-21,CHKP,768465481.6267904
2001-09-24,CHKP,768180142.4601237
2001-09-25,CHKP,767420241.0553617
2001-09-26,CHKP,765781618.3601236
2001-09-27,CHKP,764563578.9494094
2001-09-28,CHKP,761768739.2113141
2001-10-01,CHKP,759905112.1597269
2001-10-02,CHKP,758595285.6460363
2001-10-03,CHKP,758742050.7597268
2001-10-04,CHKP,758635124.966076
2001-10-05,CHKP,757303688.8827426
2001-10-08,CHKP,753220860.0638934
2001-10-09,CHKP,750650751.7638934
2001-10-10,CHKP,747765908.6527822
2001-10-11,CHKP,748015146.994052
2001-10-12,CHKP,747724600.1289728
2001-10-15,CHKP,746727326.8908775
2001-10-16,CHKP,746278746.0914727
2001-10-17,CHKP,744414336.4474251
