date,ticker,adv
2000-01-03,MSFT,2856268863.333375
2000-01-04,MSFT,2873019682.460359
2000-01-05,MSFT,2904484835.9365497
2000-01-06,MSFT,2918227006.5714703
2000-01-07,MSFT,2946177184.380994
2000-01-10,MSFT,2971306266.301629
2000-01-11,MSFT,2991555011.6667085
2000-01-12,MSFT,3019892733.41274
2000-01-13,MSFT,3060272602.9206767
2000-01-14,MSFT,3074107679.269883
2000-01-18,MSFT,3096156394.9841685
2000-01-19,MSFT,3131099193.9048038
2000-01-20,MSFT,3114009677.634962
2000-01-21,MSFT,3125438416.349248
2000-01-24,MSFT,3144432724.9682956
2000-01-25,MSFT,3170874980.7143273
2000-01-26,MSFT,3171342979.428613
2000-01-27,MSFT,3181986432.269883
2000-01-28,MSFT,3177053763.238137
2000-01-31,MSFT,3175540935.444486
2000-02-01,MSFT,3193844911.317502
2000-02-02,MSFT,3199733230.333375
2000-02-03,MSFT,3207678383.6667085
2000-02-04,MSFT,3215005939.8095655
2000-02-07,YHOO,3217379495.7143216
2000-02-08,YHOO,3230661797.3016233
2000-02-09,YHOO,3242066940.3174963
2000-02-10,YHOO,3247058068.095274
2000-02-11,YHOO,3260932572.222258
2000-02-14,YHOO,3256918797.6190834
2000-02-15,YHOO,3266428932.539718
2000-02-16,YHOO,3262913188.7301946
2000-02-17,YHOO,3265585844.6032104
2000-02-18,YHOO,3270104832.380988
2000-02-22,YHOO,3276643946.0317817
2000-02-23,YHOO,3284068541.269877
2000-02-24,LVLT,3450439335.476235
2000-02-25,LVLT,3543156864.5238543
2000-02-28,LVLT,3610654705.71433
2000-02-29,LVLT,3654674972.8571873
2000-03-01,COMS1,3897427728.837607
2000-03-02,COMS1,4592224177.406623
2000-03-03,COMS1,4857871575.232146
2000-03-06,COMS1,5033110961.522687
2000-03-07,COMS1,5187765061.1357975
2000-03-08,COMS1,5232391067.014908
2000-03-09,COMS1,5266004915.659352
2000-03-10,COMS1,5279456983.790083
2000-03-13,COMS1,5310162472.238147
2000-03-14,COMS1,5415434323.49421
2000-03-15,COMS1,5385955806.906528
